region|1|Amarillo
site|Pantex 7 C79|48_065_0007|79
site|Pantex 4 A104|48_065_0004|104
site|Pantex 5 A105/A205|48_065_0005|105
site|Amarillo C305|48_375_0005|305
site|Amarillo Texas A&M C320|48_375_0320|320
site|Amarillo 24th Avenue C1025|48_375_1025|1025
site|Borger FM 1559 C1073|48_233_1073|1073
site|Amarillo Xcel El Rancho C1077|48_375_1077|1077
region|2|Lubbock
site|Lubbock C306|48_303_0001|306
site|Lubbock C325|48_303_0325|325
site|Lubbock 12th Street C1028|48_303_1028|1028
region|3|Abilene
site|Wichita Falls C315|48_485_0315|315
site|Wichita Falls TEXAQSII C652|48_485_0652|652
site|Bowie Patterson Street C1507|48_337_1507|1507
site|Wichita Falls MWSU C1508|48_485_1508|1508
site|Abilene North 3rd Street C1509|48_441_1509|1509
site|Abilene KABI C5015|48_441_5015|5015
region|4|Dallas-Fort Worth
site|Dallas North C5|48_113_0045|5
site|Ft. Worth Northwest C13/AH302 |48_439_1002|13
site|Keller C17|48_439_2003|17
site|Frisco  C31/C680|48_085_0005|31
site|Denton Co. Airport C33 |48_121_0033|33
site|Midlothian OFW C52/A137|48_139_0016|52
site|Denton Airport South C56/A163/X157|48_121_0034|56
site|Arlington Regional Office C57|48_439_0057|57
site|Dallas Hinton St. C401/C60/AH161 |48_113_0069|60
site|Arlington Municipal Airport C61|48_439_3011|61
site|Dallas North No.2 C63/C679|48_113_0075|63
site|Anna C68|48_085_0010|68
site|Rockwall Heath C69|48_397_0001|69
site|Grapevine Fairway C70/A301/X182|48_439_3009|70
site|Kaufman C71/A304/X071|48_257_0005|71
site|Granbury C73/C681|48_221_0001|73
site|Sunnyvale Long Creek C74|48_113_3003|74
site|Eagle Mountain Lake C75 |48_439_0075|75
site|Parker County C76|48_367_0081|76
site|Cleburne Airport C77/C682|48_251_0003|77
site|Decatur Thompson C88 |48_497_0088|88
site|Fort Worth Yuma C89/Z400|48_439_0089|89
site|Midlothian Tower C94/A305/X158|48_139_0015|94
site|Fort Worth Berry C97/Z401|48_439_0097|97
site|DFW Airport 2 C132|48_439_3005|132
site|Boys Club A134|48_113_0057|134
site|Midlothian OFW C52/A137|48_139_0016|137
site|Denton Airport South C56/A163/X157|48_121_0034|157
site|Midlothian Tower C94/A305/X158|48_139_0015|158
site|Midlothian Tower C94/A305/X158|48_139_0015|160
site|Dallas Hinton St. C401/C60/AH161 |48_113_0069|161
site|Denton Airport South C56/A163/X157|48_121_0034|163
site|Grapevine Fairway C70/A301/X182|48_439_3009|182
site|Garland Hwy Dept C197|48_113_1006|197
site|Greenville C1006/A198|48_231_1006|198
site|Midlothian Wyatt Road C302/A306|48_139_0017|302
site|Diamond Hill Fort Worth C308|48_439_3008|308
site|Haws Athletic Center C310|48_439_1006|310
site|Convention Center C312|48_113_0050|312
site|Dallas Hinton St. C401/C60/AH161 |48_113_0069|401
site|Dallas Executive Airport C402|48_113_0087|402
site|Italy High School C650|48_139_0650|650
site|Dallas North No.2 C63/C679|48_113_0075|679
site|Frisco  C31/C680|48_085_0005|680
site|Granbury C73/C681|48_221_0001|681
site|Cleburne Airport C77/C682|48_251_0003|682
site|Greenville C1006/A198|48_231_1006|1006
site|Flower Mound Shiloh C1007 |48_121_1007|1007
site|Johnson County Luisa C1008/Z402|48_251_1008|1008
site|Everman Johnson Park C1009 |48_439_1009|1009
site|Frisco Eubanks C1010|48_085_0009|1010
site|Dish Airfield C1013 |48_121_1013|1013
site|Arlington UT Campus C1018 |48_439_1018|1018
site|Pilot Point C1032|48_121_1032|1032
site|Italy C1044/A323|48_139_1044|1044
site|Corsicana Airport C1051|48_349_1051|1051
site|Ft Worth California Parkway North C1053|48_439_1053|1053
site|Kennedale Treepoint Dr C1062 |48_439_1062|1062
site|Mansfield Flying L Lane C1063 |48_251_1063|1063
site|Rhome Seven Hills Road C1064 |48_497_1064|1064
site|Fort Worth Joe B Rushing Road C1065 |48_439_1065|1065
site|Dallas LBJ Freeway C1067|48_113_1067|1067
site|Richland Southeast 1220 Road C1081|48_349_1081|1081
site|Lancaster Cedardale C1500|48_113_1500|1500
site|Godley FM2331 C1501 |48_251_1501|1501
site|Mineral Wells 23rd St. C1502|48_363_1502|1502
site|Fort Worth Benbrook Lake C1503 |48_439_1503|1503
site|Gainsville Doss Street C1504|48_097_1504|1504
site|Dallas Elm Fork C1505 |48_113_1505|1505
site|Weatherford Highway 180 C1506|48_367_1506|1506
site|Dallas Hinton St. C401/C60/AH161 |48_113_0069|3002
site|Arlington Airport KGKY C5007|48_439_5007|5007
site|Denton Airport KDTO C5008|48_121_5008|5008
site|Corsicana KCRS C5014|48_349_5014|5014
site|Earhart C9997|48_113_0061|9997
site|Frisco Stonebrook C9998|48_085_0029|9998
region|5|Tyler-Longview-Marshall
site|Longview C19/A127/C644|48_183_0001|19
site|Cypress River Airport C50|48_315_0050|50
site|Tyler Airport Relocated C82|48_423_0007|82
site|Karnack C85/AFHP303|48_203_0002|85
site|Tyler Airport C86|48_423_0004|86
site|Longview C19/A127/C644|48_183_0001|127
site|Winona C133|48_423_0005|133
site|Longview Big Woods C605|48_183_0002|605
site|Waskom C612|48_203_0003|612
site|Panola C627|48_365_0627|627
site|Longview C19/A127/C644|48_183_0001|644
site|Wamba NTRD C645|48_037_0645|645
site|Palestine C647|48_001_0647|647
site|Clarksville NTRD C648/C668|48_387_0648|648
site|Clarksville NTRD C648/C668|48_387_0648|668
site|Texarkana New Boston C1031|48_037_1031|1031
site|Cookville FM 4855 C1078|48_449_1078|1078
site|Hallsville Red Oak Road C1079|48_203_1079|1079
site|Tatum CR 2181d Martin Creek Lake C1082|48_401_1082|1082
region|6|El Paso-Juarez
site|El Paso Downtown C6|48_141_0027|6
site|El Paso UTEP C12/A125/X151/G125|48_141_0037|12
site|El Paso East C30|48_141_0028|30
site|El Paso Lower Valley Sounder C36|48_141_0054|36
site|Ascarate Park SE C37/A332/A172/X159|48_141_0055|37
site|El Paso Sun Metro C40/AP116|48_141_0053|40
site|Chamizal C41/AH126 |48_141_0044|41
site|Socorro Hueco C49/F312|48_141_0057|49
site|BRAVO Big Bend C67/C316/C656/C691|48_043_0101|67
site|Skyline Park C72|48_141_0058|72
site|El Paso Sun Metro C40/AP116|48_141_0053|116
site|El Paso Womble A123|48_141_0047|123
site|El Paso UTEP C12/A125/X151/G125|48_141_0037|125
site|Chamizal C41/AH126 |48_141_0044|126
site|El Paso UTEP C12/A125/X151/G125|48_141_0037|151
site|Ascarate Park SE C37/A332/A172/X159|48_141_0055|159
site|Ascarate Park SE C37/A332/A172/X159|48_141_0055|172
site|BRAVO Big Bend C67/C316/C656/C691|48_043_0101|316
site|McDonald Observatory C317|48_243_0004|317
site|Sul Ross (Alpine) C318|48_043_0002|318
site|Fort Bliss C324|48_141_0051|324
site|Tillman C413|48_141_0002|413
site|Ivanhoe C414/F514|48_141_0029|414
site|Moon City C415|48_141_0050|415
site|BRAVO Big Bend C67/C316/C656/C691|48_043_0101|656
site|Guadalupe Mountain National Park C658|48_109_0658|658
site|Cd Juarez Advance C661|80_006_0004|661
site|Cd Juarez 20-30 Club C662|80_006_0006|662
site|Cd Juarez Delphi C663|80_006_0007|663
site|BRAVO Big Bend C67/C316/C656/C691|48_043_0101|691
site|Van Buren Dam C693/F693|48_141_0693|693
site|El Paso Delta C1011 |48_141_1011|1011
site|Ojo De Agua C1021/FG121/FG221|48_141_1021|1021
site|Chamizal C41/AH126 |48_141_0044|3001
site|Guadalupe Pass KGDP C5018|48_109_5018|5018
site|El Paso Mimosa C9996|48_141_0038|9996
region|7|Odessa-Midland
site|Odessa El Ranchito C14 |48_135_0004|14
site|Odessa Hays C47/A160 |48_135_0003|47
site|Odessa Hays C47/A160 |48_135_0003|122
site|Odessa Gonzales C1014 |48_135_1014|1014
site|Big Spring Midway C1072|48_227_1072|1072
site|Odessa Westmark Street C1092 |48_135_1092|1092
site|Goldsmith Street C1093 |48_135_1093|1093
region|8|San Angelo
site|San Angelo KSJT C5016|48_451_5016|5016
region|9|Waco
site|Temple C651|48_027_0651|651
site|Millpond Park San Saba C653|48_411_0653|653
site|Waco Mazanec C1037|48_309_1037|1037
site|Temple Georgia C1045|48_027_1045|1045
site|Killeen Skylark Field C1047|48_027_1047|1047
site|Rockdale John D. Harper Rd. C1075|48_331_1075|1075
site|Franklin Oak Grove C1076|48_395_1076|1076
site|Fairfield FM 2570 Ward Ranch C1084|48_161_1084|1084
site|Bryan Finfeather Road|48_041_1086|1086
site|Waco KACT C5010|48_309_5010|5010
site|College Station KCLL C5011|48_041_5011|5011
region|10|Beaumont-Port Arthur
site|Beaumont-Downtown C2/A112/C2002 |48_245_0009|2
site|West Orange C9/A141|48_361_1001|9
site|Port Arthur West C28/A128/A228|48_245_0011|28
site|Carroll St. Park C54/A130|48_245_0020|54
site|Hamshire C64/C654|48_245_0022|64
site|Beaumont-Downtown C2/A112/C2002 |48_245_0009|112
site|Groves A119|48_245_0014|119
site|Port Arthur West C28/A128/A228|48_245_0011|128
site|Carroll St. Park C54/A130|48_245_0020|130
site|City Service Center/PA A131/C2000|48_245_0019|131
site|Port Neches Avenue L A136|48_245_0017|136
site|West Orange C9/A141|48_361_1001|141
site|Port Arthur West C28/A128/A228|48_245_0011|228
site|Port Arthur Memorial School C303/C689|48_245_0021|303
site|SETRPC Mauriceville 42 C642/C311/C665|48_361_1100|311
site|SETRPC Port Arthur C628|48_245_0628|628
site|Newton NTRD C639|48_351_0639|639
site|SETRPC 40 Sabine Pass C640/C1654|48_245_0101|640
site|SETRPC Mauriceville 42 C642/C311/C665|48_361_1100|642
site|SETRPC 43 Jefferson Co Airport C643|48_245_0102|643
site|San Augustine Airport NTRD C646|48_405_0646|646
site|Hamshire C64/C654|48_245_0022|654
site|SETRPC Mauriceville 42 C642/C311/C665|48_361_1100|665
site|Port Arthur Memorial School C303/C689|48_245_0021|689
site|Jefferson Co Airpt C1019/A317 |48_245_0018|1019
site|C1027-Alabama-Coushatta-TX|48_373_9001|1027
site|Nederland High School C1035 |48_245_1035|1035
site|Beaumont Mary C1050/A331|48_245_1050|1050
site|Port Arthur West 7th Street C1071|48_245_1071|1071
site|Orange 1st Street C1083|48_361_1083|1083
site|SETRPC Port Arthur C628|48_245_0628|1628
site|SETRPC 40 Sabine Pass C640/C1654|48_245_0101|1654
site|City Service Center/PA A131/C2000|48_245_0019|2000
site|Jefferson Co Airpt C1019/A317 |48_245_0018|2001
site|Beaumont-Downtown C2/A112/C2002 |48_245_0009|2002
site|Lufkin KLFK C5013|48_005_5013|5013
region|11|Austin
site|Austin North Hills Drive C3/A322|48_453_0014|3
site|Parmer Lane C25|48_453_0003|25
site|Austin Downtown C32|48_453_0017|32
site|Audubon C38|48_453_0020|38
site|San Marcos Airport Dr C62|48_055_0062|62
site|Austin Webberville Road AF171|48_453_0021|171
site|Burnet County Hospital C322|48_053_0322|322
